"random SMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"hypnotherapy:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.949000000000005,0,0,53.051,0,0
"hypnotherapy:waiting list",18.5058,0.5401,0,0,0,1.9025,0.4933,0.7267,0.8589,0,0.179,0,0,0,6.9197,0,1.7984,0,0,1.399,53.203,11.5612,1.9025
"mindfulness + TAU:neurofeedback",0,0,0,0,0,0,0,0,0,30.5508,0,0,0,0,0,30.5508,0,38.8983,0,0,0,0,0
"mindfulness + TAU:no treatment",0,0,0,0,0,0,0,0,0,29.3937,0,0,0,0,0,29.3937,0,0,0,0,41.2127,0,0
"mindfulness + TAU:psychoeducation",5.2133,4.3425,0,0,0,0.7983,3.966,5.8424,6.9049,25.1073,1.439,0,0,0,1.9493,25.1073,0.7536,0,0,13.86,0,3.9177999999999997,0.7983
"mindfulness + TAU:relaxation therapy",3.3532,0.1474,0,0,0,0.492,0.1346,0.1983,0.2343,30.6803,0.0488,0,0,0,1.2538,30.6803,13.0468,0,0,0.3817,0,18.8565,0.492
"mindfulness + TAU:sham + neurofeedback",0,0,0,0,0,0,0,0,0,30.575,0,0,0,0,0,30.575,0,38.85,0,0,0,0,0
"mindfulness + TAU:waiting list",13.8211,0.5459,0,0,0,1.9025,0.4986,0.7345,0.8681,30.6515,0.1809,0,0,0,5.168,30.6515,1.7984,0,0,1.414,0,9.8525,1.9025
"mindfulness:TAU",11.486,2.9304,0,0,0,1.5825,8.5686,12.6225,4.6596,0,3.1089,0,0,0,4.2948,31.89,1.495,0,0,7.59,0,8.1892,1.5825
"mindfulness:mindfulness + TAU",8.6145,2.1978,0,0,0,1.266,6.5028,9.5793,3.4947,24.134,2.3594,0,0,0,3.2211,24.134,1.196,0,0,5.6925,0,6.341900000000001,1.266
"mindfulness:neurofeedback",10.7157,2.9304,0,0,0,1.266,7.791,11.477,4.6596,0,2.8268,0,0,0,4.0068,0,1.196,37.1663,0,7.59,0,7.1083,1.266
"mindfulness:no treatment",10.0504,2.9304,0,0,0,1.266,7.383,10.876,4.6596,0,2.6788,0,0,0,3.758,0,1.1959,0,0,7.59,39.480799999999995,6.865200000000001,1.266
"mindfulness:relaxation therapy",7.015,2.6357,0,0,0,0.965,11.5276,16.9815,4.191,0,4.1825,0,0,0,2.6231,0,10.8766,0,0,6.8267,0,31.200400000000002,0.965
"mindfulness:sham + neurofeedback",10.7296,2.9304,0,0,0,1.266,7.7995,11.4896,4.6596,0,2.8299,0,0,0,4.012,0,1.196,37.118,0,7.59,0,7.1134,1.266
"neurofeedback:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.435,0,55.565000000000005,0,0,0,0,0
"neurofeedback:no treatment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.685700000000004,0,0,52.314400000000006,0,0
"neurofeedback:psychoeducation",5.9331,4.8256,0,0,0,0.7983,4.4073,6.4924,7.6732,0,1.5991,0,0,0,2.2185,0,0.7536,39.530100000000004,0,20.79,0,4.1804,0.7983
"neurofeedback:relaxation therapy",3.3532,0.1474,0,0,0,0.492,0.1346,0.1983,0.2343,0,0.0488,0,0,0,1.2538,0,19.0878,50.259,0,0.3817,0,23.9173,0.492
"neurofeedback:waiting list",20.2063,0.5459,0,0,0,1.9025,0.4986,0.7345,0.8681,0,0.1809,0,0,0,7.5555,0,1.7984,50.2014,0,1.414,0,12.1814,1.9025
"no treatment:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1208,0,0,0,0,57.8791,0,0
"no treatment:psychoeducation",5.5339,4.5576,0,0,0,0.7983,4.1625,6.1318,7.247,0,1.5103,0,0,0,2.0692,0,0.7535,0,0,20.79,41.6131,4.034400000000001,0.7983
"no treatment:relaxation therapy",3.3532,0.1473,0,0,0,0.492,0.1345,0.1981,0.2342,0,0.0488,0,0,0,1.2538,0,17.829,0,0,0.3814,52.5732,22.8624,0.492
"no treatment:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.637299999999996,0,0,52.3626,0,0
"no treatment:waiting list",18.8758,0.5459,0,0,0,1.9025,0.4986,0.7345,0.8681,0,0.1809,0,0,0,7.058,0,1.7984,0,0,1.414,52.514599999999994,11.6961,1.9025
"psychoeducation:TAU",6.5166,5.3859,0,0,0,0.958,4.919,7.2462,8.5641,0,1.7848,0,0,0,2.4367,34.74,0.9044,0,0,20.79,0,4.7964,0.958
"psychoeducation:relaxation therapy",3.1634,6.9846,0,0,0,0.464,6.3791,9.3971,11.1061,0,2.3145,0,0,0,1.1828,0,13.9378,0,0,19.65,0,24.956699999999998,0.464
"psychoeducation:sham + neurofeedback",5.9414,4.8312,0,0,0,0.7983,4.4124,6.5,7.6821,0,1.6009,0,0,0,2.2216,0,0.7536,39.4866,0,20.79,0,4.1834,0.7983
"psychoeducation:waiting list",7.6985,12.6424,0,0,0,0.9433,11.5464,17.0092,20.1026,0,4.1894,0,0,0,2.8786,0,0.8906,0,0,15.965,0,5.1907000000000005,0.9433
"relaxation therapy:TAU",4.4709,0.1768,0,0,0,0.615,0.1615,0.2379,0.2812,0,0.0586,0,0,0,1.6718,44.8113,19.5702,0,0,0.458,0,26.8718,0.615
"relaxation therapy:sham + neurofeedback",3.3532,0.1474,0,0,0,0.492,0.1346,0.1983,0.2343,0,0.0488,0,0,0,1.2538,0,19.1141,50.2106,0,0.3817,0,23.9393,0.492
"sham + neurofeedback:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4833,0,55.5166,0,0,0,0,0
"sham + neurofeedback:waiting list",20.2341,0.5459,0,0,0,1.9025,0.4986,0.7345,0.8681,0,0.1809,0,0,0,7.5659,0,1.7984,50.153000000000006,0,1.414,0,12.1915,1.9025
